Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,6.061,6.031,5.981,5.91,5.818,5.703,5.57,5.424,5.272,5.12,4.972,4.836,4.712,4.6,4.502,4.415,4.339,4.267,4.195,4.12,4.037,3.943,3.838,3.723,3.6,3.471,3.342,3.217,3.101,2.995,2.902,2.822,2.754,2.693,2.639,2.588,2.536,2.483,2.426,2.365,2.3,2.232,2.163,2.097,2.033,1.976,1.925,1.882,1.847,1.818,1.796,1.781,1.771,1.764,1.758,1.753,1.747,1.739,1.73,1.719,
China,5.756,5.905,6.062,6.206,6.32,6.385,6.384,6.316,6.184,5.986,5.725,5.403,5.035,4.643,4.244,3.859,3.508,3.2,2.943,2.745,2.613,2.547,2.536,2.561,2.607,2.65,2.666,2.643,2.575,2.46,2.309,2.14,1.977,1.838,1.731,1.66,1.622,1.605,1.597,1.595,1.596,1.597,1.6,1.604,1.608,1.612,1.615,1.617,1.62,1.623,1.627,1.632,1.639,1.647,1.656,1.665,1.675,1.683,1.69,1.696,
India,5.906,5.902,5.894,5.88,5.859,5.83,5.794,5.751,5.702,5.648,5.587,5.519,5.444,5.363,5.278,5.192,5.108,5.029,4.956,4.889,4.827,4.766,4.703,4.636,4.563,4.484,4.399,4.311,4.222,4.132,4.045,3.959,3.877,3.799,3.723,3.651,3.582,3.514,3.446,3.379,3.311,3.244,3.176,3.109,3.041,2.972,2.899,2.823,2.743,2.661,2.581,2.506,2.439,2.381,2.333,2.295,2.266,2.243,2.222,2.202,
Russian Federation,2.52,2.45,2.36,2.27,2.18,2.13,2.1,2.04,1.99,1.97,1.99,2.03,2.04,2.01,2,1.98,1.97,1.95,1.92,1.9,1.89,1.91,2.04,2.11,2.06,2.05,2.15,2.22,2.12,2.01,1.892,1.732,1.552,1.385,1.4,1.337,1.27,1.218,1.232,1.157,1.195,1.223,1.286,1.319,1.344,1.294,1.305,1.416,1.502,1.542,1.567,1.582,1.691,1.707,1.75,1.777,1.762,1.621,1.579,1.504,
South Africa,6.041,6.028,6.01,5.986,5.956,5.92,5.878,5.832,5.782,5.728,5.669,5.601,5.525,5.441,5.353,5.265,5.185,5.116,5.06,5.016,4.98,4.947,4.909,4.859,4.792,4.705,4.592,4.458,4.306,4.139,3.964,3.784,3.607,3.438,3.283,3.144,3.023,2.919,2.829,2.754,2.694,2.652,2.624,2.608,2.603,2.603,2.607,2.61,2.611,2.608,2.598,2.582,2.561,2.537,2.511,2.484,2.457,2.43,2.405,2.381,
