Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,210.109873186103,205.040782060323,260.425649671662,292.252173425241,261.666616336301,261.354345115614,315.797213962258,347.493052162524,374.786775401462,403.884297825159,445.02310059739,504.749474702397,586.214375621533,775.273300345189,1004.10495803968,1153.83091532261,1390.62491204606,1567.00618230231,1744.25705368742,1908.48761039622,1947.27638172523,2132.8833173447,2226.7671199705,1570.53979590926,1578.92640511028,1648.0820678363,1941.49106688531,2087.30754614764,2300.37681152012,2908.49613818735,3100.28042681627,3975.39019421469,2596.91984245081,2791.20898186013,3500.61146795399,4748.21573407477,5166.16393300655,5282.0086380056,5087.15213112718,3478.37275016214,3749.75327141454,3156.7987713336,2829.28314489459,3070.91052439544,3637.46242879358,4790.43695908641,5886.46368222667,7348.03071626086,8831.02311697566,8597.91548455152,11286.2429009115,13245.6120301146,12370.0244490002,12300.324821091,12112.5876683327,8814.00141787464,8710.09677403838,9928.6430632111,9151.44525254365,8897.48777044292,6796.84454227877
China,89.5205415103584,75.8058379259965,70.9094116671007,74.3136434486145,85.4985551596313,98.4867777522206,104.324566181147,96.5895319417819,91.4727183066072,100.12990326618,113.162991554686,118.654577785346,131.883561243868,157.090374298657,160.140093727686,178.341819608096,165.40554037242,185.422832913673,156.396388520044,183.983152215978,194.804722186836,197.071474499102,203.334919503464,225.431928890812,250.713969046988,294.45884850496,281.928120911563,251.811956961329,283.537695240524,310.8819124049,317.884673040928,333.142145400184,366.460692306116,377.3898394789,473.492278719989,609.656679205465,709.413755088002,781.744164343014,828.580479299572,873.287061730612,959.372483635864,1053.10824300262,1148.50829043887,1288.64325183475,1508.66809788453,1753.41782926104,2099.22943460734,2693.97006340427,3468.30460207977,3832.23643246922,4550.45310775599,5618.13226711491,6316.91831760216,7050.64627124287,7678.59948587722,8066.94263493206,8147.93770549385,8879.43866711453,9976.677137263,10216.6303341031,10500.3956159637
India,82.1886027387829,85.354300989206,89.8817564947458,101.126429448401,115.537496074678,119.318916255491,89.9973043737176,96.3391364638065,99.8759627220214,107.622318423333,112.434492477745,118.603241475547,122.981864109903,143.778687613061,163.478112500121,158.036171003399,161.092092236981,186.213504179523,205.69338331283,224.001018807619,266.57785078817,270.470600926091,274.111333667661,291.238110137317,276.66795828235,296.435150039292,310.465932763137,340.416834519435,354.149248234039,346.112888485581,367.55660889031,303.055607722879,316.953927198178,301.159002272177,346.102951420647,373.76648078334,399.950074728286,415.493797812017,413.29893221522,441.998760444983,443.314193811316,451.572997293746,470.986786810734,546.726613494985,627.774241726543,714.8610153644,806.753280628799,1028.33477194577,998.522341514181,1101.96083821252,1357.5637268318,1458.10406619626,1443.88243476181,1449.61045069632,1573.88564183014,1605.60544457045,1732.55424231697,1980.66701982813,1996.91508739755,2100.75146060783,1900.70680971528
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3777.2353728423,3428.76215270861,3492.7103142473,3490.45250498822,3098.80263930177,2930.67020113494,2662.10403424087,2665.77986699982,2643.92919598833,2737.57202398929,1834.86184283035,1330.75723561155,1771.59405905827,2100.35251171829,2377.52957748244,2975.12535330125,4102.36483299792,5323.46308263383,6920.18912483291,9101.25504905672,11635.2729337888,8562.81327716515,10674.9957825675,14311.0843159612,15420.8745413273,15974.6446270517,14095.648742954,9313.01362484996,8704.89841329594,10720.3326583505,11287.3552780815,11497.6492498593,10126.7217935297
South Africa,443.009919687117,454.962013204571,473.011404787688,511.497363595139,548.996057840454,584.704162655487,621.220543396537,675.135345144852,711.22574244265,780.625918680059,834.552502866869,897.130093822605,917.355854790044,1225.0894683308,1499.14106799702,1512.77096500261,1416.70882099851,1535.11878146466,1722.22663022266,2071.55093125287,2905.80764148555,2913.24255077845,2601.05786122582,2820.43371745368,2429.02750034724,1807.976467842,2015.81356725988,2582.49467153238,2711.51530047549,2756.21214797863,3139.9662248384,3285.9723260933,3479.08320481774,3388.77208446662,3445.2282810658,3751.83854053584,3494.42385913899,3549.55069948519,3154.01181553226,3081.5613845698,3032.43918160783,2666.47502701186,2502.27700465337,3751.28225102743,4833.62751660714,5383.65721714514,5602.01046615218,6095.62157019026,5760.80517151179,5862.79710791594,7328.61519967084,8007.47643908404,7501.66109639676,6832.72554600295,6433.40040236585,5734.63342207587,5272.5436481983,6131.47944960886,6372.60565499345,6001.4011214068,5090.71502455292
